#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-04-16 04:32:35 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/ca/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# dd_nu
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd	Parameter Name					dd_nu	Location Name
# 00060		Discharge, cubic feet per second		2	
# 80155		Suspended sediment discharge, tons per day		5	
#
#
agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	11458000	00060	2	1991	3	901.5
USGS	11458000	00060	2	1991	4	108.3
USGS	11458000	00060	2	1991	5	32.0
USGS	11458000	00060	2	1991	6	9.20
USGS	11458000	00060	2	1991	7	3.69
USGS	11458000	00060	2	1991	8	1.57
USGS	11458000	00060	2	1991	9	1.42
USGS	11458000	00060	2	1991	10	1.08
USGS	11458000	00060	2	1991	11	1.46
USGS	11458000	00060	2	1991	12	5.33
USGS	11458000	00060	2	1992	1	17.3
USGS	11458000	00060	2	1992	2	448.4
USGS	11458000	00060	2	1992	3	347.9
USGS	11458000	00060	2	1992	4	74.8
USGS	11458000	00060	2	1992	5	25.1
USGS	11458000	00060	2	1992	6	7.47
USGS	11458000	00060	2	1992	7	3.61
USGS	11458000	00060	2	1992	8	1.55
USGS	11458000	00060	2	1992	9	0.399
USGS	11458000	00060	2	1992	10	2.27
USGS	11458000	00060	2	1992	11	3.91
USGS	11458000	00060	2	1992	12	230.5
USGS	11458000	00060	2	1993	1	1711
USGS	11458000	00060	2	1993	2	1031
USGS	11458000	00060	2	1993	3	292.4
USGS	11458000	00060	2	1993	4	105.0
USGS	11458000	00060	2	1993	5	51.3
USGS	11458000	00060	2	1993	6	29.4
USGS	11458000	00060	2	1993	7	5.32
USGS	11458000	00060	2	1993	8	2.97
USGS	11458000	00060	2	1993	9	2.33
USGS	11458000	00060	2	1993	10	1.69
USGS	11458000	00060	2	1993	11	5.93
USGS	11458000	00060	2	1993	12	67.9
USGS	11458000	00060	2	1994	1	55.7
USGS	11458000	00060	2	1994	2	271.4
USGS	11458000	00060	2	1994	3	51.6
USGS	11458000	00060	2	1994	4	28.5
USGS	11458000	00060	2	1994	5	20.6
USGS	11458000	00060	2	1994	6	7.73
USGS	11458000	00060	2	1994	7	1.94
USGS	11458000	00060	2	1994	8	0.337
USGS	11458000	00060	2	1994	9	0.511
USGS	11458000	00060	2	1994	10	0.976
USGS	11458000	00060	2	1994	11	15.6
USGS	11458000	00060	2	1994	12	76.0
USGS	11458000	00060	2	1995	1	3083
USGS	11458000	00060	2	1995	2	347.9
USGS	11458000	00060	2	1995	3	2530
USGS	11458000	00060	2	1995	4	227.2
USGS	11458000	00060	2	1995	5	165.9
USGS	11458000	00060	2	1995	6	40.1
USGS	11458000	00060	2	1995	7	13.5
USGS	11458000	00060	2	1995	8	2.84
USGS	11458000	00060	2	1995	9	2.05
USGS	11458000	00060	2	1995	10	1.92
USGS	11458000	00060	2	1995	11	2.61
USGS	11458000	00060	2	1995	12	229.2
USGS	11458000	00060	2	1996	1	695.9
USGS	11458000	00060	2	1996	2	1335
USGS	11458000	00060	2	1996	3	516.4
USGS	11458000	00060	2	1996	4	210.7
USGS	11458000	00060	2	1996	5	110.9
USGS	11458000	00060	2	1996	6	42.8
USGS	11458000	00060	2	1996	7	14.0
USGS	11458000	00060	2	1996	8	5.49
USGS	11458000	00060	2	1996	9	2.84
USGS	11458000	00060	2	1996	10	2.54
USGS	11458000	00060	2	1996	11	35.4
USGS	11458000	00060	2	1996	12	749.8
USGS	11458000	00060	2	1997	1	2481
USGS	11458000	00060	2	1997	2	336.3
USGS	11458000	00060	2	1997	3	97.8
USGS	11458000	00060	2	1997	4	41.0
USGS	11458000	00060	2	1997	5	20.8
USGS	11458000	00060	2	1997	6	5.96
USGS	11458000	00060	2	1997	7	1.02
USGS	11458000	00060	2	1997	8	0.244
USGS	11458000	00060	2	1997	9	0.201
USGS	11458000	00060	2	1997	10	0.552
USGS	11458000	00060	2	1997	11	43.0
USGS	11458000	00060	2	1997	12	143.8
USGS	11458000	00060	2	1998	1	862.2
USGS	11458000	00060	2	1998	2	3408
USGS	11458000	00060	2	1998	3	339.7
USGS	11458000	00060	2	1998	4	273.6
USGS	11458000	00060	2	1998	5	148.7
USGS	11458000	00060	2	1998	6	100.5
USGS	11458000	00060	2	1998	7	23.9
USGS	11458000	00060	2	1998	8	5.46
USGS	11458000	00060	2	1998	9	3.05
USGS	11458000	00060	2	1998	10	2.82
USGS	11458000	00060	2	1998	11	54.2
USGS	11458000	00060	2	1998	12	130.7
USGS	11458000	00060	2	1999	1	122.4
USGS	11458000	00060	2	1999	2	1276
